特征,SHAP值
aspect_rain,2.088028610698496
rain_ratio_3d_30d,1.8840241292345217
distance_to_river,1.8455404322660351
log_dist_river,1.6920584704681616
rain_3d,0.6794155868396505
lon,0.5331530307450492
rain_intensity,0.5144425207505482
lat,0.28320476010769047
valley_risk,0.25482655864553955
elevation,0.2513601619392457
rain_30d,0.24572978775341678
api,0.1421398110429102
aspect,0.13219407442938214
tpi,0.08624383274243744
rain_7d,0.07133203902307345
rain_ratio_7d_30d,0.07112959482180208
elev_rain,0.042972745064977405
ndvi_elev,0.04058177044204063
ndvi,0.03300839609452413
ndwi,0.025868992029108705
landuse,0.01457844486941381
lu_Grassland,0.014183729751274408
lu_Trees,0.009476807577001582
lu_Built-up,0.005441262062080905
lu_Cropland,0.0
lu_Moss and Lichen,0.0
lu_Permanent water bodies,0.0
